"Luxesierbeslag","Luxesierbeslag-Titel","Sku","_type"
"35.94","Kubica K5080 3D verstelbaar, onzichtbaar scharnier  F1","E380106","dict"
"18.03","Kubica K30 scharnier mat chroom","E380109","dict"
"32.36","Kubica K2400 scharnier mat nikkel","E380113","dict"
"36.84","Kubica K5080 scharnier mat nikkel","E380118","dict"
"18.53","Kubica K6400 scharnier mat chroom","E380120","dict"
"18.53","Kubica K6400 scharnier mat nikkel","E380122","dict"
"45.11","Kubica K7080 scharnier mat zwart","E380128","dict"
"170.44","Kinox K7316 scharnier mat rvs","E380129","dict"
"17.86","Atomika K8000 verborgen scharnier, kleur wit, 30 minuten brandwerend, 60kg draagvermogen","E380130","dict"
"16.06","Atomika K8000 verborgen scharnier, kleur zwart, 30 minuten brandwerend, 60kg draagvermogen","E380134","dict"
"20.27","Atomika K8000 onzichtbaar scharnier, kleur gepolijst chroom, 30 minuten brandwerend, 60kg draagvermogen","E380133","dict"
"26.81","Atomika K8000 onzichtbaar scharnier, kleur mat messing, 30 minuten brandwerend, 60kg draagvermogen","E380136","dict"
"17.87","Atomika K8000 verborgen scharnier, kleur mat chroom, 30 minuten brandwerend, 60kg draagvermogen","e380137","dict"
"17.87","Atomika K8000 verborgen scharnier, kleur mat nikkel/F2, 30 minuten brandwerend, 60kg draagvermogen","e380138","dict"
"17.87","Atomika Slim K8060 verborgen scharnier, kleur mat chroom/F1, 30 minuten brandwerend, 60kg draagvermogen","E380141","dict"
"18.77","Atomika Slim K8060 verborgen scharnier, kleur mat nikkel/F2, 30 minuten brandwerend, 60kg draagvermogen","e380142","dict"
"21.44","Atomika Slim K8060 verborgen scharnier, kleur zwart, 30 minuten brandwerend, 60kg draagvermogen","e380143","dict"
"21.44","Atomika Slim K8060 verborgen scharnier, kleur wit, 30 minuten brandwerend, 60kg draagvermogen","e380144","dict"
"32.43","Atomika Karakter K8080 verborgen scharnier, kleur mat chroom/F1, 60 minuten brandwerend, 80kg draagvermogen","e380151","dict"
"30.88","Atomika Karakter K8080 verborgen scharnier, kleur mat nikkel/F2, 60 minuten brandwerend, 80kg draagvermogen","e380152","dict"
"36.48","Atomika Karakter K8080 verborgen scharnier, kleur zwart, 60 minuten brandwerend, 80kg draagvermogen","e380153","dict"
"33.30","Atomika Karakter K8080 verborgen scharnier, kleur wit, 60 minuten brandwerend, 80kg draagvermogen","e380154","dict"
"456.92","Sleutelbuis roestvaststaal Kruse Push 12V met push","1854028","dict"
"456.92","Sleutelbuis roestvaststaal Kruse Push 24V met push","1854029","dict"
"162.60","Sleutelbuis roestvaststaal Kruse ARS voor PC cilinder","1854033","dict"
"171.77","Sleutelbuis roestvaststaal Kruse 70 voor PC cilinder","1854035","dict"
"169.50","Sleutelbuis roestvaststaal Kruse 70-Code met cijferslot","1854040","dict"
"10.21","Rozet rond voor sleutelbuis Kruse pc","1854055","dict"
"11.50","Rozet rond met klep voor sleutelbuis Kruse pc","1854056","dict"
"47.07","Beugel voor montage sleutelbuis aan de wand","1854058","dict"
"51.28","Houder B voor montage in spouwmuur","1854059","dict"
"252.90","Sleutelkluis roestvaststaal Kruse opbouw K3 v. cilinder","1854060","dict"
"485.37","Sleutelkluis roestvaststaal Kruse opbouw K5 v. cilinder","1854062","dict"
"78.69","Omranding sleutelkluis Kruse K3, bij inbouw","1854065","dict"
"81.12","Omranding sleutelkluis Kruse K5, bij inbouw","1854066","dict"
"37.04","Grondplaat voor sleutelkluis K3, bij inbouw","1854068","dict"
"540.28","Sleutelkluis vrijstaand Kruse Pollersafe PC","1854071","dict"
"53.66","Maco kruk-krukgarnituur F1 52mm KTB PC72***","1902081","dict"
"53.66","Maco kruk-krukgarnituur F1 52mm KTB PC92***","1902082","dict"
"61.49","Maco greep-krukgarnituur F1 52mm KTB PC 72***","1902083","dict"
"61.49","Maco greep-krukgarnituur F1 52mm KTB PC 92***","1902084","dict"
"39.53","Maco krukgarn. 52mmF1 bui.geh.BL/bin PC72","1902090","dict"
"39.91","Maco krukgarn. 52mmF1 bui.geh.BL/bin PC92","1902091","dict"
"39.91","Maco kruk-krukgarn.52mm F1 bui.BL/bin PC72","1902093","dict"
"39.91","Maco kruk-krukgarn.52mm F1 bui.BL/bin PC92","1902094","dict"
"73.77","Maco krukgarnituur 35mm rvs PC92","4477463","dict"
"82.22","Maco VD garnituur 35mm rvs PC92","4477466","dict"
"\8.75","Montageset  kruk-kruk 64-70 pro door","4477469","dict"
"\8.75","Montageset greep-kruk 64-70 pro door","4477475","dict"
"\6.96","Loopslot        1535/50 lak","1221541","dict"
"\8.20","Kastslot sl.56  1535/50 lak-","1221546","dict"
"\8.20","Kastslot pc55   1535/50 lak","1221547","dict"
"10.77","Deurslot sl.56  1535/50 lak","1221551","dict"
"\8.52","Badkamer/toil.slot 1535/50 lak","1221561","dict"
"10.07","Loopslot        1535/50 roestvaststaal","1221570","dict"
"11.57","Kastslot sl.56  1535/50 roestvaststaal","1221575","dict"
"12.17","Deurslot pc55   1535/50 roestvaststaal","1221580","dict"
"10.53","Kastslot pc55   1535/50 roestvaststaal","1221585","dict"
"11.94","Badkamer/toil.slot 1535/50 roestvaststaal","1221590","dict"
"14.52","Deurslot sl.56  1535/50 roestvaststaal","1221595","dict"
"80.78","Badkamer schuifdeurslot 55mm","1225170","dict"
"14.93","Lince Rolslot smal  5554","1209200","dict"
"\4.68","Argenta paumelle roestvaststaal 89x89mmx2,5 12mm din RS","1168289","dict"
"\4.68","Argenta paumelle roestvaststaal 89x89mmx2,5 12mm din LS","1168290","dict"
"\4.50","Argenta kogelstift paumelle roestvaststaal 89x89mmx3 16mm din links","1169029","dict"
"74.71","Proslide prof. bovenrail   4.0m alum.","1400002","dict"
"112.02","Proslide prof. bovenrail   6.0m aluminium","1400003","dict"
"36.09","Proslide prof. muurbev.   3,0m alum.","1400006","dict"
"52.93","Proslide prof. muurbev.   4,0m aluminium","1400007","dict"
"79.36","Proslide prof. muurbev.   6,0m aluminium","1400008","dict"
"56.01","Proslide prof. afdek      4,0m aluminium","1400011","dict"
"84.03","Proslide prof. afdek      6,0m aluminium","1400012","dict"
"52.83","Proslide standardfix+standaard stop (2x)","1400019","dict"
"93.32","Proslide standard-fix+stand.stop+slowstop","1400020","dict"
"124.64","Proslide standard-fix+slowstop (2x)","1400021","dict"
"61.54","Proslide manuel-fix + standaard stop (2x)","1400023","dict"
"105.37","Proslide manual-fix+standaard stop + slowstop","1400024","dict"
"138.06","Proslide manual-fix + slowstop (2x)","1400025","dict"
"73.28","Proslide autofix+stand.stop(2x)","1400028","dict"
"103.68","Proslide autofix+standaard stop+slowstop","1400029","dict"
"139.17","Proslide autofix+dubbel slowstop (2x)","1400031","dict"
"147.74","Proslide autofix+slowstop rolstelsel (2x)","1400030","dict"
"\2.06","Proslide verlengde bout M8x40","1400032","dict"
"131.73","Proslide complete kit, 2 mtr., manual fix, met 2 stuks standaard stops","1400033","dict"
"178.67","Proslide complete kit, met rail van 2 mtr, manual fix, 1x standaard stop en 1x slow stop","1400034","dict"
"\5.13","Proslide vloergeleider aluminium","1400035","dict"
"\1.83","Proslide muurbeugel","1400036","dict"
"\5.37","Proslide essi module","1400037","dict"
"37.28","Proslide parallelle garnituur hout 2D","1400038","dict"
"148.85","Proslide onzichtbaar inbouwprofiel 2 meter inclusief 1x essi-module","1400041","dict"
"183.24","Proslide onzichtbaar inbouwprofiel 3 meter inclusief 2x essi-module","1400042","dict"
"221.59","Proslide onzichtbaar inbouwprofiel 4 meter inclusief 2x essi-module","1400043","dict"
"305.57","Proslide onzichtbaar inbouwprofiel 6 meter inclusief 2x essi-module","1400044","dict"
"141.61","Proslide simultaan systeem 2 deuren","1400047","dict"
"97.55","Proslide getande riem 10m","1400048","dict"
"188.17","Proslide telescopisch systeem 2 deuren","1400050","dict"
"148.85","Proslide autofix+slowstop+slowstop zwart","1400061","dict"
"177.30","Proslide Motion getande riem 20 meter","1400073","dict"
"84.02","Proslide Motion afdekprofiel 6 meter","1400078","dict"
"48.59","Proslide prof.bovenrail 2.0m gitzwart ral9005","1400079","dict"
"72.79","Proslide prof.bovenrail 3.0m gitzwart ral9005","1400080","dict"
"97.09","Proslide prof.bovenrail 4.0m gitzwart ral9005","1400081","dict"
"\1.69","Proslide clips 100mm voor deurdikte","1400089","dict"
"44.16","Magnotica magneet deursluiter grijs 70000088","1400093","dict"
"44.16","Magnotica magneet deursluiter zwart 70000090","1400094","dict"
"44.16","Magnotica magneet deursluiter wit 70000091","1400095","dict"
"38.60","Magnotica Pro magnetische deursluiter zwart","1400098","dict"
"38.60","Magnotica Pro magnetische deursluiter wit","1400099","dict"
"44.69","Onzichtbaar scharnier Exo xc10 wit","1400100","dict"
"44.69","Onzichtbaar scharnier Exo xc10 zwart","1400101","dict"
"20.17","Onzichtbaar scharnier Tyo invisble mat chroom met grijze afdekkappen","1400105","dict"
"146.64","Schuifdeursysteem: Muur/afdekprofiel Linea 12mm 2000mm F1  (exclusief schuifdeurgarnituur)","1400113","dict"
"166.07","Schuifdeursysteem: Muur/afdekprofiel Linea 18mm 2000mm F1 (exclusief schuifdeurgarnituur)","1400115","dict"
"219.95","Schuifdeursysteem: Muur/afdekprofiel Linea 12mm 3000mm F1 (excl. schuifdeurgarnituur)","1400117","dict"
"216.65","Schuifdeursysteem: Muur/afdekprofiel Linea 18mm 3000mm F1  (exclusief schuifdeurgarnituur)","1400119","dict"
"96.84","Linea Standaard Stop 80 kg. 12/18mm (exclusief profiel)","1400122","dict"
"175.86","Linea Slow Stop 80 kg. 12/18mm (exclusief profiel)","1400123","dict"
"\7.17","Afdekset rvs tbv Pivotica Pro","1400145","dict"
"156.09","Taatsdeurscharnier Pivotica Pro 100kg","1400142","dict"
"\8.22","Afdekset zw tbv Pivotica Pro 150","1400149","dict"
"36.97","Argenta 3D verstelbaar, onzichtbaar scharnier  Invisible medium, mat chroom","E390001","dict"
"31.02","Argenta 3D verstelbaar, onzichtbaar scharnier  Invisible small, mat chroom","E390000","dict"
"88.60","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-L7 mat chroom","E390002","dict"
"48.25","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-S5 mat chroom","E390016","dict"
"56.72","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-M6 mat chroom","E390017","dict"
"48.24","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-S5 chroom","E390018","dict"
"56.72","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-M6 chroom","E390019","dict"
"88.60","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-L7 chroom","E390020","dict"
"53.24","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-S5 inox look","E390021","dict"
"64.80","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-M6 inox look","E390022","dict"
"101.45","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-L7 inox look","E390023","dict"
"53.24","Argenta 3D verstelbaar, onzichtbaar scharnier NEO-S5 pekzwart","E390043","dict"
"53.24","Argenta 3D verstelbaar, onzichtbaar scharnier NEO-S5 zwart omber","E390044","dict"
"64.80","Argenta 3D verstelbaar, onzichtbaar scharnier NEO-M6 zwart omber","E390045","dict"
"106.35","Argenta 3D verstelbaar, onzichtbaar scharnier  NEO-L7 mat chroom RF60","E390054","dict"
"35.34","Argenta 3D verstelbaar, onzichtbaar scharnier, invisible small, mat wit ral 9016","e390071","dict"
"35.36","Argenta 3D verstelbaar, onzichtbaar scharnier, invisible small, mat zwart ral 9005","e390072","dict"
"42.18","Argenta 3D verstelbaar, onzichtbaar scharnier, invisible medium, mat wit ral 9016","e390075","dict"
"42.18","Argenta 3D verstelbaar, onzichtbaar scharnier, invisible medium, mat zwart ral 9005","e390076","dict"
"\2.67","Proslide afdekkap voor profiel en ESSI module","1400039","dict"
"\8.43","Loopslot met magnetische schoot, rvs voorplaat, doornmaat 50mm,  exclusief sluitkom/sluitplaat","1222104","dict"
"\8.85","Wc-slot, 8x63, met magnetisch schoot, rvs voorplaat, doornmaat 50mm,  exclusief sluitkom/sluitplaat","1222105","dict"
"11.14","Dag- en nachtslot, klavier/sleutelgat 56mm, met magnetisch schoot, rvs voorplaat, doornmaat 50mm,  exclusief sluitkom/sluitplaat","1222106","dict"
"18.86","Magneet project insteek loopslot, met roestvaststalen voorplaat, zonder sluitplaat. Doornmaat 60mm.","1222131","dict"
"21.82","Magneet project insteek badkamer/toiletslot, met roestvaststalen voorplaat, zonder sluitplaat. Doornmaat 60mm.","1222133","dict"
"29.84","Magneet project insteek dag & nachtslot, cilindersparing, met roestvaststalen voorplaat, zonder sluitplaat. Doornmaat 60mm.","1222135","dict"
"\4.92","Sluitplaat tbv magneetslot loop/wc","1222142","dict"
"26.39","Buis zwart 27mm lengte = 2000mm","1482412","dict"
"14.21","Buis zwart 27mm lengte = 1000mm","1482413","dict"
"\5.44","Voetplaat zwart 27mm","1482415","dict"
"\3.47","Haak zwart 27mm","1482416","dict"
"\3.75","T-stuk vlak zwart 27mm","1482417","dict"
"\6.01","Leuningdrager zwart 27mm","1482418","dict"
"\4.08","Bocht zwart 27mm","1482419","dict"
"\3.90","Bevestigingsring zwart 27mm","1482420","dict"
"\6.45","Kniestuk zwart 27mm","1482421","dict"
"\3.30","Kledinghanger 8mm massief rvs","1482451","dict"
"\5.29","Hoekstuk zwart 27mm","1482423","dict"
"\6.86","Kledinghanger 12mm massief rvs draaibare haak","1482452","dict"
"\5.77","Kledinghanger plat model rvs","1482453","dict"
"\5.12","Kledinghanger 16mm holle buis rvs","1482454","dict"
"\6.21","Kledinghanger plat model zwart","1482466","dict"
"\5.58","Kledinghanger 16mm holle buis zwart","1482468","dict"
"\7.44","Deurkruk aluminium kleur F1, D-model, met zelfplakkende Easy Click montage","1222312","dict"
"\7.31","Deurkruk aluminium kleur F1, L-model met haakse hoek, met zelfplakkende Easy Click montage","1222313","dict"
"\7.67","Deurkruk aluminium kleur F1, L-model met afgeronde hoek, met zelfplakkende Easy Click montage","1222314","dict"
"\1.88","Cilinderrozet aluminium kleur F1, met zelfplakkende Easy Click montage","1222316","dict"
"\1.88","Sleutel/klavierrozet aluminium kleur F1, met zelfplakkende Easy Click montage","1222317","dict"
"\3.19","Toilet-/badkamer rozet aluminium kleur F1, met zelfplakkende Easy Click montage","1222318","dict"
"\1.88","Blind- of afdekrozet aluminium kleur F1, met zelfplakkende Easy Click montage","1222319","dict"
"\8.24","Deurkruk aluminium kleur roestvaststaal look, D-model, met zelfplakkende Easy Click montage","1222322","dict"
"\8.11","Deurkruk aluminium kleur roestvaststaal look, L-model met haakse hoek, met zelfplakkende Easy Click montage","1222323","dict"
"\8.49","Deurkruk aluminium kleur roestvaststaal look, L-model met afgeronde hoek, met zelfplakkende Easy Click montage","1222324","dict"
"\2.09","Cilinderrozet aluminium kleur roestvaststaal look, met zelfplakkende Easy Click montage","1222326","dict"
"\2.09","Sleutel/klavierrozet aluminium kleur roestvaststaal look, met zelfplakkende Easy Click montage","1222327","dict"
"\3.53","Toilet-/badkamer rozet aluminium kleur roestvaststaal look, met zelfplakkende Easy Click montage","1222328","dict"
"\2.09","Blind- of afdekrozet aluminium kleur roestvaststaal look, met zelfplakkende Easy Click montage","1222329","dict"
"\7.44","Deurkruk aluminium kleur zwart, D-model, met zelfplakkende Easy Click montage","1222332","dict"
"\1.88","Cilinderrozet aluminium kleur zwart, met zelfplakkende Easy Click montage","1222336","dict"
"\1.88","Sleutel/klavierrozet aluminium kleur zwart, met zelfplakkende Easy Click montage","1222337","dict"
"\3.19","Toilet-/badkamer rozet aluminium kleur zwart, met zelfplakkende Easy Click montage","1222338","dict"
"\1.88","Blind- of afdekrozet aluminium kleur zwart, met zelfplakkende Easy Click montage","1222339","dict"
"13.01","Deurkruk L-model, kleur zwart met structuur, afgeronde haakse hoek, vastdraaibaar en geveerd, op ronde rozet","1222442","dict"
"14.35","Deurkruk L-model, kleur zwart met structuur, haakse hoek, vastdraaibaar en geveerd, op ronde rozet","1222443","dict"
"13.21","Deurkruk D-model, kleur zwart met structuur, vastdraaibaar en geveerd, op ronde rozet","1222444","dict"
"\3.99","Cilinderrozet rond, kleur zwart, 6mm dik","1222451","dict"
"\3.99","Sleutelrozet rond, kleur zwart, 6mm dik","1222452","dict"
"\8.69","Wc-rozet rond, kleur zwart, 6mm dik","1222453","dict"
"19.29","Deurkrukgarnituur, L-model haaks, geveerd, vast gemonteerd op langschild 225x40mm, in kleur zwart met structuur, blind","1222463","dict"
"19.29","Deurkrukgarnituur, L-model haaks, geveerd, vast gemonteerd op langschild 225x40mm, in kleur zwart met structuur, sleutelgat klavier 56mm","1222464","dict"
"19.29","Deurkrukgarnituur, L-model haaks, geveerd, vast gemonteerd op langschild 225x40mm, in kleur zwart met structuur, cilindergat pc55","1222465","dict"
"19.29","Deurkrukgarnituur, L-model haaks, geveerd, vast gemonteerd op langschild 225x40mm, in kleur zwart met structuur, cilindergat pc72","1222466","dict"
"21.48","Deurkrukgarnituur, L-model haaks, geveerd, vast gemonteerd op langschild 225x40mm, in kleur zwart met structuur, wc-/badkamer sluiting 8x63","1222467","dict"
"21.48","Deurkrukgarnituur, L-model haaks, geveerd, vast gemonteerd op langschild 225x40mm, in kleur zwart met structuur, wc-/badkamer sluiting 8x72","1222468","dict"
"\9.90","Schuifdeurkom roestvaststaal Ø70mm geboord","1216763","dict"
"\9.90","Schuifdeurkom roestvaststaal Ø70mm blind","1216764","dict"
"15.00","Schuifdeurkom roestvaststaal Ø110mm geboord","1216765","dict"
"\2.58","Greep gebogen roestvaststaal 96mm/diameter 10mm","1216801","dict"
"\2.98","Greep gebogen roestvaststaal 128mm/diameter 10mm","1216802","dict"
"\3.51","Greep gebogen roestvaststaal 160mm/diameter 10mm","1216803","dict"
"\6.13","Greep gebogen roestvaststaal 320mm/diameter 10mm","1216805","dict"
"\3.18","T-greep roestvaststaal 96/160mm diameter 10mm","1216811","dict"
"\3.61","T-greep roestvaststaal 128/192mm diameter 10mm","1216812","dict"
"\3.96","T-greep roestvaststaal 160/224mm diameter 10mm","1216813","dict"
"\4.37","T-greep roestvaststaal 192/256mm diameter 10mm","1216814","dict"
"\6.13","T-greep roestvaststaal 320/384mm diameter 10mm","1216816","dict"
"\6.99","T-greep roestvaststaal 384/448mm diameter 10mm","1216817","dict"
"\8.18","T-greep roestvaststaal 480/544mm diameter 10mm","1216818","dict"
"\9.04","T-greep roestvaststaal 544/608mm diameter 10mm","1216819","dict"
"\6.03","T-greep roestvaststaal 96/160mm diameter 14mm","1216831","dict"
"\8.70","T-greep roestvaststaal 192/256mm diameter 14mm","1216834","dict"
"\7.48","T-greep roestvaststaal 160/224mm diameter 14mm","1216833","dict"
"19.40","T-greep roestvaststaal 592/656mm diameter 14mm","1216839","dict"
"\6.73","T-greep roestvaststaal 128/192mm diameter 14mm","1216832","dict"
"22.13","T-greep roestvaststaal 692/756mm diameter 14mm","1216840","dict"
"11.91","T-greep roestvaststaal 320/384mm diameter 14mm","1216836","dict"
"13.96","T-greep roestvaststaal 392/456mm diameter 14mm","1216837","dict"
"24.88","T-greep roestvaststaal 792/856mm diameter 14mm","1216841","dict"
"\2.67","Draadgreep roestvaststaal 96mm diameter 10mm","1216851","dict"
"\2.92","Draadgreep roestvaststaal 128mm diameter 10mm","1216852","dict"
"\3.28","Draadgreep roestvaststaal 160mm diameter 10mm","1216853","dict"
"\7.50","Draadgreep roestvaststaal 416mm diameter 10mm","1216857","dict"
"\3.58","Draadgreep roestvaststaal 192mm diameter 10mm","1216854","dict"
"\5.43","Draadgreep roestvaststaal 320mm diameter 10mm","1216856","dict"
"\7.99","Draadgreep roestvaststaal 512mm diameter 10mm","1216858","dict"
"\1.45","Knop rond roestvaststaal 10mm","1216861","dict"
"\1.82","Knop rond roestvaststaal 15mm","1216862","dict"
"\2.46","Knop rond roestvaststaal 20mm","1216863","dict"
"\3.80","Knop rond roestvaststaal 25mm","1216864","dict"
"\4.91","Knop rond roestvaststaal 30mm","1216865","dict"
"61.52","Briefplaat bu.dr.roestvaststaal recht uden","1217840","dict"
"64.03","Briefplaat buitendraaiend roestvaststaal rond apeldoorn","1217842","dict"
"18.07","Beldrukker roestvaststaal rond","1217843","dict"
"18.07","Beldrukker roestvaststaal ovaal","1217844","dict"
"\4.11","Oxloc deurstopper roestvaststaal vloer 61995","1217880","dict"
"\5.20","Oxloc deurstopper roestvaststaal mat vloer 61997","1217881","dict"
"\4.19","Oxloc deurstopper  roestvaststaal vloer 61998","1217882","dict"
"\4.60","Oxloc deurstopper roestvaststaal mat vloer 57x23","1217884","dict"
"\3.16","Onderlegplaat voor deurstopper  620000","1217885","dict"
"\5.51","Oxloc deurstopper roestvaststaal vloer 62000","1217886","dict"
"\3.63","Onderlegplaat deurstopper    62001","1217887","dict"
"10.25","Oxloc deurstopper roestvaststaal vloer 62001","1217888","dict"
"\8.65","Oxloc deurstopper roestvaststaal vloer 62002","1217889","dict"
"\7.38","Oxloc deurstopper roestvaststaal wand 25x78mm.","1217890","dict"
"33.03","Oxloc Kierstandhouder, roestvaststaal, binnendraaiende deur, SKG","1219761","dict"
"33.03","Oxloc Kierstandhouder, roestvaststaal, buitendraaiende deur, SKG","1219763","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 0","1219780","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 1","1219781","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 2","1219782","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 3","1219783","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 4","1219784","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 5","1219785","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 6/9","1219786","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 7","1219787","dict"
"\6.21","Huiscijfer roestvaststaal 120mm nr 8","1219788","dict"
"\6.21","Huisletter roestvaststaal 93mm a","1219790","dict"
"\6.21","Huisletter roestvaststaal 93mm c","1219792","dict"
"\6.21","Huisletter roestvaststaal 120mm b","1219791","dict"
"\6.21","Huisletter roestvaststaal 120mm d","1219793","dict"
"\9.81","Pictogram rvs zelfkl.75mm heren","1220801","dict"
"\9.81","Pictogram rvs zelfkl. Dames/Heren","1220803","dict"
"12.92","Pictogram rvs zelfkl. 75mm babykamer","1220808","dict"
"12.92","Pictogram rvs zelfkl. douche","1220809","dict"
"","","","dict"
"","","","dict"
"27.02","Oxloc vh rozet vierk.roestvaststaal     pc","1219705","dict"
"35.49","P+E Projectscharnier CE hout/hout 160mm rvs geborsteld","PE00001","dict"
"29.43","P+E Projectscharnier CE hout/hout 160mm rvs-look","PE00002","dict"
"\6.28","P+E Krukstift 95x8mm gegalvaniseerd","PE00003","dict"
"\7.07","P+E Krukstift 120x8mm gegalvaniseerd","PE00005","dict"
"\6.67","P+E Krukstift 110x8mm gegalvaniseerd","PE00004","dict"
"\7.42","P+E Krukstift 140x8mm gegalvaniseerd","PE00006","dict"
"\9.17","P+E Krukstift 150x8mm gegalvaniseerd","PE00007","dict"
"11.18","P+E Krukstift 160x8mm gegalvaniseerd","PE00008","dict"
"\2.14","P+E Rozet blind rond ø55x2mm met schroefgaten rvs geborsteld","PE00014","dict"
"\3.36","P+E Rozet blind rond ø55x2mm met M4 draadbussen rvs geborsteld","PE00015","dict"
"\2.14","P+E Rozet profielcilindergat rond ø55x2mm met schroefgaten rvs geborsteld","PE00016","dict"
"\3.36","P+E Rozet profielcilindergat rond ø55x2mm met M4 draadbussen rvs geborsteld","PE00017","dict"
"29.44","P+E Deurknop op ronde rozet ø55x2mm wisselstift 8mm rvs geborsteld","PE00019","dict"
"27.55","P+E Deurknop op ronde rozet ø55xmm wisselstift 9mm rvs geborsteld","PE00020","dict"
"12.64","P+E Kogelstift paumelle SKG3 hout/hout 100mm DIN links rvs geborsteld","PE00044","dict"
"12.64","P+E Kogelstift paumelle SKG3 hout/hout 100mm DIN rechts rvs geborsteld","PE00045","dict"
"39.64","P+E Projectscharnier hout/hout 100mm rvs geborsteld","PE00046","dict"
"12.67","P+E Kogelstift paumelle SKG3 hout/hout 160mm DIN links rvs geborsteld","PE00047","dict"
"12.67","P+E Kogelstift paumelle SKG3 hout/hout 160mm DIN rechts rvs geborsteld","PE00048","dict"
"50.26","P+E Projectscharnier SKG3 hout/hout 100mm rvs geborsteld","PE00074","dict"
"59.77","P+E Projectscharnier SKG3 hout/hout 160mm rvs geborsteld","PE00075","dict"
"28.35","P+E Dag- en nachtslot profielcilindergat 72mm DIN rechts/links met rvs geborstelde voorplaat 235x20mm","PE00076","dict"
"28.35","P+E Kastslot profielcilindergat 72mm DIN rechts/links met rvs geborstelde voorplaat 235x20mm","PE00077","dict"
"28.35","P+E Loopslot DIN rechts/links met rvs geborstelde voorplaat 235x20mm","PE00078","dict"
"28.35","P+E Vrij- en bezetslot WC72mm DIN rechts/links met rvs geborstelde voorplaat 235x20mm","PE00079","dict"
"41.48","P+E Tonrol loopslot met gegalvaniseerde sluitplaat 140x20mm","PE00080","dict"
"85.39","P+E Tonrol dag- en nachtslot profielcilindergat 78mm doornmaat 35mm met gegalvaniseerde voorplaat 220x22mm","PE00081","dict"
"21.37","P+E Sluitplaat zonder lip voor projectsloten met dag- en nachtsschoot 265x28mm rvs geborsteld","PE00082","dict"
"16.59","P+E Sluitplaat voor projectsloten met dag- en nachtschoot DIN links 235x25mm rvs geborsteld","PE00083","dict"
"16.59","P+E Sluitplaat voor projectsloten met dag- en nachtschoot DIN rechts 235x25mm rvs geborsteld","PE00084","dict"
"16.59","P+E Sluitplaat voor projectsloten met dagschoot DIN links 235x25mm rvs geborsteld ","PE00085","dict"
"16.59","P+E Sluitplaat voor projectsloten met dagschoot DIN rechts 235x25mm rvs geborsteld","PE00086","dict"
"16.59","P+E Sluitplaat voor projectsloten met nachtschoot DIN links 235x25mm rvs geborsteld","PE00087","dict"
"16.59","P+E Sluitplaat voor projectsloten met nachtschoot DIN rechts 235x25mm rvs geborsteld","PE00088","dict"
"13.75","P+E Sluitplaat voor projectsloten met dag- en nachtschoot 270x24mm rvs geborsteld","PE00093","dict"
"70.62","P+E Tonrol dag- en nachtslot profielcilindergat 72mm doornmaat 60mm met rvs geborstelde voorplaat 235x25mm","PE00091","dict"
"129.87","P+E Veiligheidsslot profielcilindergat 92mm doornmaat 25mm DIN rechts/links met rvs geborstelde voorplaat 270x24mm","PE00095","dict"
"110.72","P+E Veiligheidsslot profielcilindergat 92mm doornmaat 35mm DIN rechts/links met rvs geborstelde voorplaat 270x24mm ","PE00097","dict"
"110.72","P+E Veiligheidsslot profielcilindergat 92mm doornmaat 30mm DIN rechts/links met rvs geborstelde voorplaat 270x24mm ","PE00096","dict"
"110.72","P+E Veiligheidsslot profielcilindergat 92mm doornmaat 40mm DIN rechts/links met rvs geborstelde voorplaat 270x24mm ","PE00098","dict"
"20.11","P+E Gatdeel deurkruk L-model op ronde rozet 8mm stift rvs geborsteld","PE00100","dict"
"18.71","P+E Gatdeel deurkruk L-model op ronde rozet 9mm stift rvs geborsteld","PE00102","dict"
"20.11","P+E Gatdeel deurkruk U-model op ronde rozet 8mm stift rvs geborsteld","PE00104","dict"
"18.71","P+E Gatdeel deurkruk U-model op ronde rozet 9mm stift rvs geborsteld","PE00106","dict"
"22.11","P+E Gatdeel deurkruk L-model haaks 8mm stift rvs geborsteld","PE00108","dict"
"20.01","P+E Gatdeel deurkruk L-model haaks 9mm stift rvs geborsteld","PE00110","dict"
"26.97","P+E Gatdeel deurkruk Sabel op ronde rozet 8mm stift rvs geborsteld","PE00112","dict"
"25.10","P+E Gatdeel deurkruk Sabel op ronde rozet 9mm stift rvs geborsteld","PE00114","dict"
"","","","dict"
